baseline,app,bug_name,verdict,activated,candidate_failures,aligned_failures,detecting_test
B (Playwright test agents),prestashop,buyer_view_new_product_details,oracle_miss,True,0,0,
B (Playwright test agents),prestashop,buyer_view_popular_product_details,oracle_miss,True,0,0,
B (Playwright test agents),prestashop,buyer_view_store_information,oracle_miss,True,0,0,
B (Playwright test agents),prestashop,seller_backorder_order,not_activated,False,0,0,
B (Playwright test agents),prestashop,seller_cancel_order,not_activated,False,0,0,
B (Playwright test agents),prestashop,seller_delete_product,not_activated,False,0,0,
B (Playwright test agents),prestashop,seller_deliver_order,not_activated,False,0,0,
B (Playwright test agents),prestashop,seller_refund_order,not_activated,False,0,0,
B (Playwright test agents),prestashop,seller_ship_order,not_activated,False,0,0,
B (Playwright test agents),prestashop,seller_view_carts,not_activated,False,0,0,
B (Playwright test agents),prestashop,seller_view_catalog_product_details,oracle_miss,True,0,0,
B (Playwright test agents),prestashop,seller_view_shop_design,not_activated,False,0,0,
